name,state,location,control,for_profit,religious_controlled,religious_orentation,degree_type,focus,founded_in,closed_merged_in,done,closed_reason,enrollment,historically_black,accreditation
Lindenwood University,Missouri,St. Charles,Private,0,1,Presbyterian Church (USA),Masters University,,1827,,Jenalyn,,"11,421",,
Augusta University,Georgia,Augusta,Public,0,0,none,Doctoral University,,1828,,,,"5,000",,
Johnson State College,Vermont,Johnson,Public,0,0,none,Baccalaureate College,,1828,2018,,,,,
State University of New York at New Paltz,New York,New Paltz,Public,0,0,none,Baccalaureate College,,1828,,,,"9,229",,
McKendree University,Illinois,Lebanon,Private,0,1,Methodist,Masters University,,1828,,Jenalyn,,,,
Rochester Institute of Technology,New York,Rochester,Private,0,0,none,Doctoral University,,1829,,Jenalyn,,"18,665",,
Georgetown College,Kentucky,,Private,0,1,Catholic,Baccalaureate College,,1829,,Jenalyn,,,,
Illinois College,Illinois,Jacksonville,Private,0,0,Presbyterian,Baccalaureate College,,1829,,Jenalyn,,,,
Capital University,Ohio,Bexley,Private,0,1,Evangelical Lutheran Church in America,Doctoral University,,1830,,Jenalyn,,,,
Randolph-Macon College,Virginia,Ashland,Private,0,1,Methodist,Baccalaureate College,,1830,,Jenalyn,,"1,488",,SACS
University of Richmond,Virginia,Richmond,Private,0,1,Christian,Baccalaureate College,,1830,,Jenalyn,,"4,002",,SACS
Trinity Lutheran Seminary,Ohio,Columbus,Private,0,1,Lutherean,Seminary,,1830,2018,AJB,,,,
Lutheran Theological Southern Seminary of Lenoir-Rhyne University,South Carolina,Columbia,Private,1,1,Lutheran,Seminary,,1830,,AJB,,164[37],,ATS
Spring Hill College,Alabama,Mobile,Private,0,1,Catholic,Masters University,,1830,,Jenalyn,,"1,290",,SACS
University of North Alabama,Alabama,Florence,Public,0,0,none,Masters University,,1830,,,,"7,702",,SACS
Vermont College of Fine Arts,Vermont,Montpelier,Private,0,0,none,Specialized Focus,Art,1831,,Jenalyn,,,,
Denison University,Ohio,Granville,Private,0,0,none,Baccalaureate College,,1831,,Jenalyn,,,,
Xavier University,Ohio,Cincinnati,Private,0,1,Catholic,Masters University,,1831,,Jenalyn,,,,
New York University,New York,New York,Public,0,0,none,Doctoral University,,1831,,,,"57,245",,
University of Alabama,Alabama,Tuscaloosa,Public,0,0,none,Doctoral University,,1831,,,,"38,100",,SACS
Wesleyan University,Connecticut,Middletown,Private,0,1,Methodist,Baccalaureate College,,1831,,Jenalyn,,"3,206",,
Westbrook College,Maine,Portland,Private,0,1,Christian,Seminary,,1831,1996,AJB,,,,
Mount Hope College,Maryland,Baltimore,Private,0,1,Christian,Masters University,,1832,1844,Jenalyn,,,,
Saint Charles Borromeo Seminary,Pennsylvania,Radnor Township(Delaware County),Private,1,1,Roman Catholic Church,Seminary,,1832,,AJB,,243,,
Gettysburg College,Pennsylvania,Gettysburg (Adams County),Private,0,1,Evangelical Lutheran Church in America,Baccalaureate College,,1832,,Jenalyn,,"2,485",,
Wabash College,Indiana,Crawfordsville,Private,0,0,none,Baccalaureate College,,1832,,Jenalyn,,906,,"HLC, TCATE"
Oberlin College,Ohio,Oberlin,Private,0,1,Christian,Baccalaureate College,,1833,,Jenalyn,,,,
Haverford College,Pennsylvania,Haverford Township(Delaware County),Private,0,0,Quaker,Liberal Arts,,1833,,Jenalyn,,"1,177",,
University of Delaware,Delaware,Newark,Public,0,0,none,Doctoral University,,1833,,,,"23,009",,
Kalamazoo College,Michigan,Kalamazoo,Private,0,0,none,Baccalaureate College,,1833,,Jenalyn,,"1,443",,HLC
Stephens College,Missouri,Columbia,Private,0,0,none,Baccalaureate College,,1833,,Jenalyn,,"1,000",,
Hartford Seminary,Connecticut,Hartford,Private,0,1,,Seminary,,1833,,AJB,,138,,
Tulane University - New Orleans,Louisiana,,Private,0,0,none,Doctoral University,,1834,,Jenalyn,,,,
Wake Forest University,North Carolina,Winston-Salem,Private,0,1,Baptist ,Doctoral University,,1834,,Jenalyn,,"8,401",,
Upstate Medical University,New York,Syracuse,Public,0,0,none,Specialized Focus,Medical,1834,,,,"1,583",,
Green Mountain College,Vermont,Poultney,Private,0,1,Methodist,Baccalaureate College,,1834,2019,Jenalyn,,,,
University of the Ozarks,Arkansas,Clarksville,Private,0,1,Christian,Baccalaureate College,,1834,,Jenalyn,,585,,
Franklin College,Indiana,Franklin,Private,0,1,Baptist Christian,Baccalaureate College,,1834,,Jenalyn,,"1,053",,"HLC, TCATE"
Marietta College,Ohio,Marietta,Private,0,1,none,Baccalaureate College,,1835,,Jenalyn,,,,
SUNY College at Brockport,New York,Brockport,Public,0,0,Roman Catholic,Baccalaureate College,,1835,,,,"9,335",,
University of West Alabama,Alabama,Livingston,Public,0,0,none,Masters University,,1835,,,,"5,653",,SACS
Albion College,Michigan,Albion,Private,1,1,Christian,Baccalaureate College,,1835,,Jenalyn,,"1,418",,"HLC, NASM, TCATE"
Alfred University,New York,Alfred,Private,0,1,Baptist ,Masters University,,1836,,Jenalyn,,"2,617",,
Union Theological Seminary in the City of New York,New York,New York,Private,0,1,Catholic,Seminary,,1836,,AJB,,239,,
Emory and Henry College,Virginia,Emory,Private,0,1,Methodist,Baccalaureate College,,1836,,Jenalyn,,"1,246",,SACS
Marshall University,West Virginia,Huntington,Public,0,0,,Doctoral University,,1837,,,,"13,708",,"ACEN, ADA, APTA, APA, ASHA, LCME, NASM, NCATE, HLC"
Davidson College,North Carolina,Davidson,Private,0,1,Presbyterian,Baccalaureate College,,1837,,Jenalyn,,"1,843",,
Guilford College,North Carolina,Greensboro,Private,0,0,none,Baccalaureate College,,1837,,Jenalyn,,"1,576",,
Muskingum University,Ohio,New Concord,Private,0,1,Presbyterian,Masters University,,1837,,Jenalyn,,,,
West Liberty University,West Virginia,West Liberty,Public,0,0,,Baccalaureate College,,1837,,,,"2,804",,"ACEN, ADA, CCNE, NASM, NCATE, HLC"
Blackburn College,Illinois,Carlinville,Private,0,1,Presbyterian,Baccalaureate College,,1837,,Jenalyn,,,,
Knox College,Illinois,Galesburg,Private,0,1,Presbyterian,Liberal Arts,,1837,,Jenalyn,,,,
DePauw University,Indiana,Greencastle,Private,0,1,Methodist,Baccalaureate College,,1837,,Jenalyn,,"2,336",,"HLC, NASM"
St. Charles College,Louisiana,Grand Coteau,Private,0,1,Christian,Baccalaureate College,,1837,1922,Jenalyn,,,,
Colby-Sawyer College,New Hampshire,New London,Private,0,0,none,Baccalaureate College,,1837,,Jenalyn,,"1,228",,
Wesleyan Female College,Delaware,Wilmington[10],Private,0,1,Methodist,Specialized Focus,Art,1837,1885,Jenalyn,,,,
Duke University,North Carolina,Durham,Private,0,1,Methodist,Doctoral University,,1838,,Jenalyn,,"16,606",,
Virginia Commonwealth University,Virginia,Richmond,Public,0,0,,Doctoral University,,1838,,,,"31,076",,SACS
Greensboro College,North Carolina,Greensboro,Private,0,1,Methodist,Baccalaureate College,,1838,,Jenalyn,,"1,030",,
Judson College,Alabama,Marion,Private,0,1,Southern Baptist Convention,Baccalaureate College,,1838,,Jenalyn,,250,,SACS
Albany Medical College,New York,Albany,Private,0,0,none,Specialized Focus,Medical,1839,,Jenalyn,,844,,
Virginia Military Institute,Virginia,Lexington,Public,0,0,,Baccalaureate College,,1839,,,,"1,685",,SACS
St. Catharine College,Kentucky,,Private,0,1,Catholic,Baccalaureate College,,1839,2016,Jenalyn,,,,
Erskine College,South Carolina,Due West,Private,0,1,Presbyterian,Baccalaureate College,,1839,,Jenalyn,,693,,SACS
Longwood University,Virginia,Farmville,Public,0,0,none,Masters University,,1839,,,,"4,911",,SACS
University of Missouri,Missouri,Columbia,Public,0,0,none,Doctoral University,,1839,,,,"33,266",,
Loras College,Iowa,Dubuque,Private,0,1,Catholic,Baccalaureate College,,1839,,Jenalyn,,"1,555",,HLC
Southwestern University,Texas,,Private,0,1,Methodist,Baccalaureate College,,1840,,Jenalyn,,,,
Bethany College,West Virginia,Bethany,Private,0,1,Evangelical,Baccalaureate College,,1840,,Jenalyn,,842,,"NCATE, HLC"
Bethany College,Kansas,Lindsborg,Private,0,1,Evangelical,Baccalaureate College,,1840,,Jenalyn,,,,
St. Mary's College of Maryland,Maryland,St. Mary's City,Public,0,0,none,Baccalaureate College,,1840,,,,"1,849",,Liberal arts college
